Ion Z N Eth Emax E0 sigma0 ya P yw y0 y1
FeX 26 17 2.621e2 9.59e2 6.886e1 6.47e1 2.062e1 4.111 2.778e-4 1.19e-5 6.57e-3
FeXI 26 16 2.902e2 9.983e2 8.284 3.281 536e1 8.571 3279e-1 2.971e1 5.22e-1
FeXII 26 15 3.308e2 1.039e3 6.295 1.738 1.13e2 8.037 3.096e-1 4.671e1 1.425e-1
FeXIII 26 14 3.61e2 1.081e3 1.317e-1 2.791e-3 2.487e3 9.791 6.938e-1 2.17e3 6.852e-3
FeXIV 26 13 3.922e2 1.125e3 8.509e-1 1.454e-1 1.239e3 8.066 4.937e-1 4.505e2 2.504
FeXV 26 12 4.57e2 1.181e3 5.555e-2 2.108e2 2.045e4 6.033 1.885e-3 2.706e-4 1.628
FeXVI 26 11 4.893e2 1.216e3 2.873e1 1.207e1 5.15e2 3.846 0. 0. 0.
FeXVII 26 10 1.262e3 7.651e3 3.444e-1 1.452 3.96e2 1.013e1 1.264 2.891e1 3.404
FeXVIII 26 9 1.358e3 7.769e3 3.19e1 2.388 2.186e1 9.589 2.902e-2 3.805e1 4.805e-1
FeXIX 26 8 1.456e3 7.918e3 7.519e-4 6.066e-5 1.606e6 8.813 4.398 1.915e6 3.14e1
FeXX 26 7 1.582e3 8.041e3 2.011e1 4.455e-1 4.236e1 9.724 2.757 6.847e1 3.989
FeXXI 26 6 1.689e3 8.184e3 9.243 1.098e1 7.637e1 7.962 1.748 4.446e1 3.512
FeXXII 26 5 1.799e3 8.35e3 9.713 7.204e-2 1.853e2 8.843 9.551e-3 1.702e2 4.263
FeXXIII 26 4 1.950e3 8.484e3 4.575e1 2.58e4 1.358 2.604e1 2.723e1 3.582e-2 8.712e-3
FeXXIV 26 3 2.046e3 8.638e3 7.326e1 1.276e1 4.914e1 4.941 0. 0. 0.
FeXXV 26 2 8.829e3 5.e4 1.057e3 1.195e1 5.769e1 1.718 0. 0. 0.
FeXXVI 26 1 9.278e3 5.e4 2.932e2 8.099e1 3.288e1 2.963 0. 0. 0.
