T								F
33113.11								1.1920918E-22
32359.37								1.1752716E-22
31622.78								1.1599935E-22
30902.95								1.1462293E-22
30199.52								1.1340333E-22
29512.09								1.123569E-22
28840.32								1.1151159E-22
28183.83								1.1090493E-22
27542.29								1.1058027E-22
26915.35								1.1058171E-22
26302.68								1.1094891E-22
25703.96								1.1171358E-22
25118.86								1.1289629E-22
24547.09								1.1450603E-22
23988.33								1.1654008E-22
23442.29								1.1898377E-22
22908.68								1.2180949E-22
22387.21								1.249745E-22
21877.62								1.2841708E-22
21379.62								1.3205012E-22
20892.96								1.3575348E-22
20417.38								1.3936465E-22
19952.62								1.4266903E-22
19498.45								1.4539208E-22
19054.61								1.471976E-22
18620.87								1.4769755E-22
18197.01								1.4648084E-22
17782.79								1.4316603E-22
17378.01								1.3747633E-22
16982.44								1.2932415E-22
16595.87								1.1887844E-22
16218.1								1.0658493E-22
15848.93								9.3118097E-23
15488.17								7.9271089E-23
15135.61								6.5816925E-23
14791.08								5.338678E-23
14454.4								4.2399622E-23
14125.38								3.3051941E-23
13803.84								2.5353225E-23
13489.63								1.9183032E-23
13182.57								1.4348622E-23
12882.5								1.0631004E-23
12589.25								7.8158544E-24
12302.69								5.7108523E-24
12022.64								4.153032E-24
11748.98								3.009797E-24
11481.54								2.1764617E-24
11220.18								1.572251E-24
10964.78								1.1359546E-24
10715.19								8.2184577E-25
10471.29								5.9615094E-25
10232.93								4.3414975E-25
10000								3.1787775E-25
9772.372								2.3416008E-25
9549.926								1.7391628E-25
9332.543								1.3046532E-25
9120.108								9.9043716E-26
8912.509								7.6259898E-26
8709.636								5.969754E-26
8511.38								4.7630629E-26
8317.638								3.8821164E-26
8128.305								3.2376854E-26
7943.282								2.7651571E-26
7762.471								2.4166332E-26
7585.776								2.1596078E-26
7413.102								1.9687446E-26
7244.36								1.8256332E-26
7079.458								1.716957E-26
6918.31								1.6331182E-26
6760.83								1.5672269E-26
6606.934								1.5143581E-26
6456.542								1.4710083E-26
6309.573								1.4347017E-26
6165.95								1.4037011E-26
6025.596								1.3768052E-26
5888.437								1.3531649E-26
5754.399								1.3321307E-26
5623.413								1.313107E-26
5495.409								1.2954525E-26
5370.318								1.2784835E-26
5248.075								1.2615924E-26
5128.614								1.2444023E-26
5011.872								1.2268258E-26
4897.788								1.2089771E-26
4786.301								1.1898271E-26
4677.351								1.1648058E-26
4570.882								1.1419768E-26
4466.836								1.1219754E-26
4365.158								1.1039885E-26
4265.795								1.087377E-26
4168.694								1.0717596E-26
4073.803								1.0568773E-26
3981.072								1.0425091E-26
3890.451								1.0284433E-26
3801.894								1.0143813E-26
3715.352								1.0004346E-26
3630.781								9.9049721E-27
3548.134								9.7524966E-27
3467.369								9.6021682E-27
3388.442								9.4539495E-27
3311.311								9.3078037E-27
3235.937								9.1636949E-27
3162.278								9.0215879E-27
3090.295								8.8814483E-27
3019.952								8.7432423E-27
2951.209								8.6069368E-27
2884.032								8.4724994E-27
2818.383								8.3398984E-27
2754.229								8.2091026E-27
2691.535								8.0800815E-27
2630.268								7.9528052E-27
2570.396								7.8272446E-27
2511.886								7.7033709E-27
2454.709								7.581156E-27
2398.833								7.4605725E-27
2344.229								7.3415935E-27
2290.868								7.2241927E-27
2238.721								7.1083443E-27
2187.762								6.9940232E-27
2137.962								6.8812046E-27
2089.296								6.7698645E-27
2041.738								6.6599794E-27
1995.262								6.5515262E-27
1949.845								6.4444824E-27
1905.461								6.3388261E-27
1862.087								6.2345359E-27
1819.701								6.1315907E-27
1778.279								6.0299701E-27
1737.801								5.9296543E-27
1698.244								5.8306238E-27
1659.587								5.7328595E-27
1621.81								5.6363431E-27
1584.893								5.5410566E-27
1548.817								5.4469823E-27
1513.561								5.3541032E-27
1479.108								5.2624028E-27
1445.44								5.1718649E-27
1412.538								5.0824737E-27
1380.384								4.994214E-27
1348.963								4.907071E-27
1318.257								4.8210302E-27
1288.25								4.7360777E-27
1258.925								4.6522E-27
1230.269								4.5693838E-27
1202.264								4.4876165E-27
1174.898								4.4068857E-27
1148.154								4.3271795E-27
1122.018								4.2484863E-27
1096.478								4.170795E-27
1071.519								4.0940947E-27
1047.129								4.018375E-27
1023.293								3.943626E-27
1000								3.8698378E-27
977.2372								3.7970012E-27
954.9926								3.7251071E-27
933.2543								3.6541468E-27
912.0108								3.584112E-27
891.2509								3.5149947E-27
870.9636								3.4467872E-27
851.138								3.379482E-27
